ASLLEXcode,NewFileName,EntryID,Cantonese_Filtered,Cantonese ,cantonese_orig,Frank's Note,Grace's Note
C_02_002,C_02_002-THIN-0TH6-318,thin,瘦,瘦,瘦,,
C_02_003,C_02_003-SUN-0M9A-319,sun,太陽,太陽,太陽,,
C_02_004,C_02_004-PRICE-0K7P-320,price,價錢,價錢,價錢,,
C_02_005,C_02_005-TWO-0JKC-321,two,二,二,二,,
C_02_006,C_02_006-AMERICA-0VSE-322,america,美國,美國,美國,,
C_02_007,C_02_007-INVITE-1440-323,invite,邀請,邀請,邀請,,
C_02_008,C_02_008-JACKET-0M8M-324,jacket,外套,外套,外套,,
C_02_009,C_02_009-LOSE_GAME-13PO-325,lose_game,輸,輸,輸,,
C_02_010,C_02_010-EUROPE-0QQG-326,europe,歐洲,歐洲,歐洲,,
C_02_011,C_02_011-POOR-0ULE-327,poor,窮,窮,窮,,
C_02_011,C_02_011-POOR_2-0ULE-328,poor_2,窮,窮_2,窮,,
C_02_012,C_02_012-MORNING-0PF9-329,morning,早上,早上,早上,,
C_02_015,C_02_015-WORRY-0P6K-330,worry,擔心,擔心,擔心,,
C_02_016,C_02_016-TEAR-0P4L-331,tear,撕開,撕開,撕開,,
C_02_017,C_02_017-CANCELLATION-0KUM-332,cancellation,取消,取消,取消,,
C_02_018,C_02_018-CHURCH-0PAP-333,church,教堂,教堂,教堂,,
C_02_021,C_02_021-HAMMER-0QEC-334,hammer,槌,槌,槌,,
C_02_023,C_02_023-HEARING-0K35-335,hearing,健聽,健聽,健聽,,
C_02_024,C_02_024-RABBIT-0KAK-337,rabbit,兔仔,兔仔,兔仔,,
C_02_026,C_02_026-CORN_2-0V4V-338,corn_2,粟米,粟米,粟米,,
C_02_027,C_02_027-GRANDMOTHER-0MP4-339,grandmother,嬤嬤,嬤嬤 (Father's mother),嬤嬤,,
C_02_027,C_02_027-GRANDMOTHER-0MI6-340,grandmother,婆婆,婆婆 (Mother's mother),婆婆,,
C_02_028,C_02_028-WOMAN-0MBJ-341,woman,女人,女人,女人,,
C_02_032,C_02_032-INTERNET-0JKI-342,internet,互聯網,互聯網,互聯網,,
C_02_033,C_02_033-DEPARTMENT-1478-343,department,部門,部門,部門,,
C_02_036,C_02_036-BEHAVIOR-122C-344,behavior,行為,行為,行為,,
C_02_037,C_02_037-MEASURE-14EF-345,measure,量度,量度,量度,,
C_02_038,C_02_038-TV-15NR-346,tv,電視,電視,電視,,
C_02_039,C_02_039-COLOR-162F-347,color,顏色,顏色,顏色,,
C_02_040,C_02_040-JELLY-0LBB-348,jelly,啫喱,啫喱,啫喱,,
C_02_041,C_02_041-PUNISH-0OFI-349,punish,懲罰,懲罰,懲罰,,
C_02_042,C_02_042-EGYPT-0LU3-350,egypt,埃及,埃及,埃及,,
C_02_042,C_02_042-^EGYPT_2-0LU3-351,^egypt_2,埃及,埃及_2,埃及,,
C_02_044,C_02_044-BALL-0R72-352,ball,波,波,波,,
C_02_045,C_02_045-HIGH-16MO-353,high,高,高,高,,
C_02_046,C_02_046-BALANCE-0NJJ-354,balance,平衡,平衡,平衡,,
C_02_046,C_02_046-BALANCE-0NJJ-980,balance,平衡,平衡,平衡,,
C_02_047,C_02_047-STUPID_2-0000-355,stupid_2,,N/A,,,
C_02_048,C_02_048-GREECE-0NGC-356,greece,希臘,希臘,希臘,,
C_02_048,C_02_048-^GREECE_2-0NGC-357,^greece_2,希臘,希臘_2,希臘,,
C_02_050,C_02_050-FRUSTRATE-0JRV-358,frustrate,使灰心,使灰心,令人灰心,no good corr,
C_02_051,C_02_051-NUMBERS-0PBO-359,numbers,數字,數字,數字,,
C_02_052,C_02_052-SKATEBOARDING-13H9-360,skateboarding,踩滑板,踩滑板,玩滑板,no good corr,
C_02_053,C_02_053-EXPLANATION-12F3-361,explanation,解釋,解釋,解釋,,
C_02_054,C_02_054-WHAT_FOR-0S5Q-362,what_for,為甚麽,為甚麽,點解,synonym,
C_02_055,C_02_055-8_HOUR-0KBB-363,8_hour,八個鐘,八個鐘,八小時,written chinese,
C_02_056,C_02_056-BENEFIT-0MBT-364,benefit,好處,好處,好處,,
C_02_057,C_02_057-WASH_MACHINE-0R8N-365,wash_machine,洗衣機,洗衣機,洗衣機,,
C_02_058,C_02_058-GULLIBLE-0MTP-366,gullible,容易上當的,容易上當的,,no good corr,
C_02_059,C_02_059-FURNITURE-0K52-367,furniture,傢俬,傢俬,傢俬,,
C_02_060,C_02_060-HIGH_SCHOOL-16MO-368,high_school,高中,高中,高中,,
C_02_062,C_02_062-BLUE-11ED-369,blue,藍色,藍色,藍色,,
C_02_063,C_02_063-UNIVERSITY-0M97-370,university,大學,大學,大學,,
C_02_065,C_02_065-WEAK-0NPH-371,weak,弱,弱,弱,,
C_02_066,C_02_066-CHILDREN-0N0F-372,children,小朋友,小朋友,小朋友,,
C_02_067,C_02_067-FEW-0NJU-373,few,幾個,幾個,幾個,,
C_02_068,C_02_068-COLD-0KED-374,cold,凍,凍,凍,,
C_02_071,C_02_071-COUGH-0L5J-375,cough,咳嗽,咳嗽,咳嗽,,
C_02_071,C_02_071-^COUGH_2-0L5J-376,^cough_2,咳嗽,咳嗽_2,咳嗽,,
C_02_072,C_02_072-HOUR-0N0F-377,hour,小時,小時,小時,,
C_02_078,C_02_078-AGREEMENT-0L0C-378,agreement,同意,同意,同意,,
C_02_080,C_02_080-9_OCLOCK-0JIT-379,9_oclock,九點,九點,九點,,
C_02_083,C_02_083-FRUIT-0R1K-380,fruit,水果,水果,水果,,
C_02_084,C_02_084-JIGSAW_PUZZLE-0ONS-381,jigsaw_puzzle,拼圖,拼圖,拼圖,,
C_02_085,C_02_085-ACCOMPLISH-0OGG-382,accomplish,成功,成功,成功,,
C_02_086,C_02_086-CAPTION-12LA-383,caption,說明文字、字幕,說明文字、字幕,字幕,,
C_02_087,C_02_087-MOUTH-0LHK-384,mouth,嘴巴,嘴巴,嘴巴,,
C_02_088,C_02_088-PINEAPPLE-10V0-385,pineapple,菠蘿,菠蘿,菠蘿,,
C_02_089,C_02_089-JUMP-13FJ-386,jump,跳,跳,跳,,
C_02_090,C_02_090-RED-0V85-387,red,紅色,紅色,紅色,,
C_03_002,C_03_002-EARTH-0LPG-388,earth,地球,地球,地球,,
C_03_003,C_03_003-MAGNET-0U61-389,magnet,磁石,磁石,磁石,,
C_03_005,C_03_005-EMPEROR-0TK7-390,emperor,皇帝,皇帝,皇帝,,
C_03_005,C_03_005-^EMPEROR_2-0TK7-391,^emperor_2,皇帝,皇帝_2,皇帝,,
C_03_006,C_03_006-DEEP-0RFH-392,deep,深,深,深,,
C_03_007,C_03_007-FALL_2-13EC-393,fall_2,跌親,跌親,跌親,,
C_03_009,C_03_009-INDIAN-0KRG-394,indian,印度,印度,印度,,
C_03_010,C_03_010-PROBLEM_1-0LAF-397,problem_1,問題,問題,問題,,
C_03_011,C_03_011-EARRING-101J-398,earring,耳環,耳環,耳環,,
C_03_012,C_03_012-SUSPECT-0OFN-399,suspect,懷疑,懷疑,懷疑,,
C_03_014,C_03_014-BLINDS_2-0TJU-400,blinds_2,百葉簾,百葉簾,百葉窗,,
C_03_015,C_03_015-BONE-16L8-401,bone,骨頭,骨頭,骨頭,,
C_03_016,C_03_016-FAST-0NVB-402,fast,快,快,快,,
C_03_018,C_03_018-STRANGE-0MA7-403,strange,奇怪,奇怪,奇怪,,
C_03_020,C_03_020-SQUIRREL-0PRU-404,squirrel,松鼠,松鼠,松鼠,,
C_03_021,C_03_021-KNEEL-13FA-406,kneel,跪下,跪下,跪下,,
C_03_022,C_03_022-PITY-0L0C-407,pity,同情、可憐,同情、可憐,同情,,chose 1st opt
C_03_023,C_03_023-CHANNEL-161R-408,channel,頻道,頻道,頻道,,
C_03_024,C_03_024-ORAL-0KV3-409,oral,口語,口語,口語,,
C_03_027,C_03_027-MISUNDERSTAND-12L4-410,misunderstand,誤解,誤解,誤解,,
C_03_028,C_03_028-LAUGH-0UOH-411,laugh,笑,笑,笑,,
C_03_033,C_03_033-PAIN-0TER-412,pain,痛,痛,痛,,
C_03_034,C_03_034-CANADA-0KL0-413,canada,加拿大,加拿大,加拿大,,
C_03_035,C_03_035-SPORTS-142B-414,sports,運動,運動,運動,,
C_03_036,C_03_036-ORDER_2-0L3T-415,order_2,命令,命令,命令,,
C_03_037,C_03_037-PROTECTION-0JUT-416,protection,保護,保護,保護,,
C_03_038,C_03_038-COVER_UP-0OT9-417,cover_up,掩飾,掩飾,掩飾,,
C_03_039,C_03_039-SCAN-0OS3-418,scan,掃描,掃描,掃描,,
C_03_040,C_03_040-MEDICINE-11F5-419,medicine,藥,藥,藥,,
C_03_041,C_03_041-NO-0L8K-420,no,唔好,唔好,唔好,,
C_03_042,C_03_042-LAPTOP-0OIB-421,laptop,手提電腦,手提電腦,手提電腦,,
C_03_043,C_03_043-ARM-0OIB-422,arm,手臂,手臂,手臂,,
C_03_046,C_03_046-DOWNLOAD-0JGB-423,download,下載,下載,下載,,
C_03_047,C_03_047-GAME-142A-424,game,遊戲,遊戲,遊戲,,
C_03_048,C_03_048-LECTURE-12OR-425,lecture,講座,講座,講座,,
C_03_051,C_03_051-JEALOUS-0MCI-426,jealous,妒忌,妒忌,妒忌,,
C_03_052,C_03_052-^DROP_2-0OS9-427,^drop_2,掉低,掉低,掉,,written chinese
C_03_052,C_03_052-DROP-0OS9-428,drop,掉低,掉低,掉,,written chinese
C_03_054,C_03_054-STOMACH-1063-429,stomach,胃,胃,胃,,
C_03_055,C_03_055-EARN-137Q-430,earn,賺錢,賺錢,賺錢,,
C_03_057,C_03_057-KID-0N0F-431,kid,小童,小童,小童,,
C_03_058,C_03_058-COUNTRY-0LOB-432,country,國家,國家,國家,,
C_03_059,C_03_059-THAT-0LFG-433,that,嗰個,嗰個,那個,,written chinese
C_03_060,C_03_060-CANDLE-120V-434,candle,蠟燭,蠟燭,蠟燭,,
C_03_061,C_03_061-VOICE-103I-435,voice,聲音,聲音,聲音,,
C_03_063,C_03_063-STAMP-147L-436,stamp,郵票,郵票,郵票,,
C_03_064,C_03_064-APPEAR-0KFQ-437,appear,出現,出現,出現,,
C_03_065,C_03_065-NURSE-12RN-438,nurse,護士,護士,護士,,
C_03_067,C_03_067-FOREIGNER_2-0000-439,foreigner_2,/,N/A,,,deleted
C_03_069,C_03_069-POWER-0KKR-440,power,力量,力量,力量,,
C_03_070,C_03_070-MONDAY-0PGV-441,monday,星期一,星期一,星期一,,
C_03_072,C_03_072-WEATHER-0M99-442,weather,天氣,天氣,天氣,,
C_03_073,C_03_073-GIRL-0MBJ-443,girl,女仔,女仔,女仔,,
C_03_075,C_03_075-SHOP_1-135N-444,shop_1,買嘢,買嘢,買嘢,,
C_03_076,C_03_076-SECRET-0UEO-445,secret,秘密,秘密,秘密,,
C_03_076,C_03_076-^SECRET_2-0UEO-446,^secret_2,秘密,秘密_2,秘密,,
C_03_077,C_03_077-DRUNK-14C9-447,drunk,醉,醉,醉,,
C_03_078,C_03_078-HAPPY-15CB-448,happy,開心,開心,開心,,
C_03_079,C_03_079-HONOR-0N0A-449,honor,尊重,尊重,尊重,,
C_03_080,C_03_080-FUTURE-0PPA-450,future,未來,未來,未來,,
C_03_081,C_03_081-THROW-0OIK-451,throw,扔,扔,扔,,
C_03_082,C_03_082-MEETING-0PO3-452,meeting,會議,會議,會議,,
C_03_084,C_03_084-SCROLL_DOWN-0U4C-453,scroll_down,碌落去,碌落去,碌落去,,
C_03_085,C_03_085-BEARD-16OD-454,beard,鬍鬚,鬍鬚,鬍鬚,,
C_03_087,C_03_087-SMOKING-0L1O-455,smoking,吸煙,吸煙,吸煙,,
C_03_089,C_03_089-SCHOOL-0MRO-456,school,學校,學校,學校,,
C_03_090,C_03_090-PRAYER-0UA8-457,prayer,祈禱,祈禱,祈禱,,
D_02_050,D_02_050-TIRED-0P9G-458,tired,攰,攰,攰,,
HKSL_lesson_only1,HKSL_lesson_only1-INTRODUCTION-0JMB-459,introduction,介紹,介紹,介紹,,
HKSL_lesson_only10,HKSL_lesson_only10-SIGN_LANGUAGE-0OIB-468,sign_language,手語,手語,手語,,
HKSL_lesson_only100,HKSL_lesson_only100-MOON-0PO8-564,moon,月亮,月亮,月亮,,
HKSL_lesson_only101,HKSL_lesson_only101-STAR-0PGV-565,star,星星,星星,星星,,
HKSL_lesson_only102,HKSL_lesson_only102-WATER-0R1K-566,water,水,水,水,,
HKSL_lesson_only103,HKSL_lesson_only103-STONE-0TVJ-567,stone,石,石,石,,
HKSL_lesson_only104,HKSL_lesson_only104-SOIL-0R75-568,soil,泥土,泥土,泥土,,
HKSL_lesson_only105,HKSL_lesson_only105-HOT-0S4E-569,hot,炎熱,炎熱,炎熱,,
HKSL_lesson_only106,HKSL_lesson_only106-TOUR-0PE5-570,tour,旅遊,旅遊,旅遊,,
HKSL_lesson_only107,HKSL_lesson_only107-BACKPACKING-10FA-571,backpacking,自助旅遊,自助旅遊,背包旅行,,
HKSL_lesson_only107,HKSL_lesson_only107-^BACKPACKING_2-10FA-572,^backpacking_2,自助旅遊,自助旅遊_2,背包旅行,,
HKSL_lesson_only108,HKSL_lesson_only108-MTR (SUBWAY)-0RHF-573,MTR (subway),港鐵,港鐵,港鐵,,
HKSL_lesson_only109,HKSL_lesson_only109-EAST RAIL LINE-0PRH-574,East Rail Line,東鐵,東鐵,東鐵,,
HKSL_lesson_only11,HKSL_lesson_only11-BOLD-10E9-469,bold,臉皮厚,臉皮厚,大膽,,synonym
HKSL_lesson_only110,HKSL_lesson_only110-AIRPLANE-166R-575,airplane,飛機,飛機,飛機,,
HKSL_lesson_only111,HKSL_lesson_only111-HELICOPTER-0TNK-576,helicopter,直升機,直升機,直升機,,
HKSL_lesson_only112,HKSL_lesson_only112-TAXI-0TK4-577,taxi,的士,的士,的士,,
HKSL_lesson_only113,HKSL_lesson_only113-MINIBUS-0N0F-578,minibus,小巴,小巴,小巴,,
HKSL_lesson_only114,HKSL_lesson_only114-BUS-0NFK-579,bus,巴士,巴士,巴士,,
HKSL_lesson_only115,HKSL_lesson_only115-MOTORCYCLE-15NR-580,motorcycle,電單車,電單車,電單車,,
HKSL_lesson_only116,HKSL_lesson_only116-CAR-0UE1-581,car,私家車,私家車,私家車,,
HKSL_lesson_only117,HKSL_lesson_only117-VAN-0MT2-582,van,客貨車,客貨車,客貨車,,
HKSL_lesson_only118,HKSL_lesson_only118-TRAM-15NR-583,tram,電車,電車,電車,,
HKSL_lesson_only119,HKSL_lesson_only119-CRANE-0L0A-584,crane,吊車,吊車,吊車,,
HKSL_lesson_only12,HKSL_lesson_only12-PAY_ATTENTION_TO-0N08-470,pay_attention_to,專心,專心,專心,,
HKSL_lesson_only120,HKSL_lesson_only120-CABLE CAR-0VKS-585,cable car,纜車,纜車,纜車,,
HKSL_lesson_only121,HKSL_lesson_only121-BOAT-10HP-586,boat,船,船,船,,
HKSL_lesson_only122,HKSL_lesson_only122-FERRY-0RH1-587,ferry,渡海小輪,渡海小輪,郵輪,,synonym
HKSL_lesson_only123,HKSL_lesson_only123-OCTOPUS_CARD (TRANSPORTATION CARD)-0KBB-588,Octopus_Card (transportation card),八達通,八達通,八達通,,
HKSL_lesson_only123,HKSL_lesson_only123-^OCTOPUS_CARD2-0KBB-589,^Octopus_Card2,八達通,八達通_2,八達通,,
HKSL_lesson_only124,HKSL_lesson_only124-TICKET-0UB8-590,ticket,票,票,票,,
HKSL_lesson_only125,HKSL_lesson_only125-ORANGE (COLOR)-0QIP-591,orange (color),橙色,橙色,橙色,,
HKSL_lesson_only126,HKSL_lesson_only126-YELLOW-17M3-592,yellow,黃,黃,黃,,
HKSL_lesson_only127,HKSL_lesson_only127-BROWN-0LB1-593,brown,啡色,啡色,棕色,,written chinese
HKSL_lesson_only128,HKSL_lesson_only128-WHITE-0TJT-594,white,白,白,白,,
HKSL_lesson_only129,HKSL_lesson_only129-GRAY-0S3G-595,gray,灰色,灰色,灰色,,
HKSL_lesson_only13,HKSL_lesson_only13-NAME-0MEJ-471,name,姓名,姓名,姓名,,
HKSL_lesson_only13,HKSL_lesson_only13-^NAME2-0MEJ-472,^name2,姓名,姓名_2,姓名,,
HKSL_lesson_only130,HKSL_lesson_only130-BEAUTIFUL-0VSE-596,beautiful,美麗,美麗,美麗,,
HKSL_lesson_only131,HKSL_lesson_only131-CHEAP-0JTV-597,cheap,便宜,便宜,便宜,,
HKSL_lesson_only132,HKSL_lesson_only132-INCREASE-0M4U-598,increase,增加,增加,增加,,
HKSL_lesson_only133,HKSL_lesson_only133-UNHAPPY-0K5N-599,unhappy,傷心,傷心,傷心,,
HKSL_lesson_only134,HKSL_lesson_only134-TIRING-13SR-600,tiring,辛苦,辛苦,辛苦,,
HKSL_lesson_only135,HKSL_lesson_only135-TROUBLESOME-17LR-601,troublesome,麻煩,麻煩,麻煩,,
HKSL_lesson_only136,HKSL_lesson_only136-THICK-0KSQ-602,thick,厚,厚,厚,,
HKSL_lesson_only137,HKSL_lesson_only137-LONG-15BN-603,long,長,長,長,,
HKSL_lesson_only138,HKSL_lesson_only138-SHORT-0TVD-604,short,短,短,短,,
HKSL_lesson_only139,HKSL_lesson_only139-BIG-0M97-605,big,大,大,大,,
HKSL_lesson_only14,HKSL_lesson_only14-ENGLISH-10NH-473,English,英文,英文,英文,,
HKSL_lesson_only140,HKSL_lesson_only140-SMALL-0V9G-606,small,細,細,細,,
HKSL_lesson_only141,HKSL_lesson_only141-SHALLOW-0RFQ-607,shallow,淺,淺,淺,,
HKSL_lesson_only142,HKSL_lesson_only142-FAR-1430-608,far,遠,遠,遠,,
HKSL_lesson_only143,HKSL_lesson_only143-NEAR-13UH-609,near,近,近,近,,
HKSL_lesson_only144,HKSL_lesson_only144-PROGRESS-141I-610,progress,進步,進步,進步,,
HKSL_lesson_only145,HKSL_lesson_only145-FALL_BEHIND-1400-611,fall_behind,退步,退步,退步,,
HKSL_lesson_only146,HKSL_lesson_only146-SKINNY-0TH6-612,skinny,瘦,瘦,瘦,,
HKSL_lesson_only147,HKSL_lesson_only147-SUCCESS-0OGG-613,success,成功,成功,成功,,
HKSL_lesson_only148,HKSL_lesson_only148-FAILURE-0M9H-614,failure,失敗,失敗,失敗,,
HKSL_lesson_only149,HKSL_lesson_only149-LUCKY-0NJO-615,lucky,幸運,幸運,幸運,,
HKSL_lesson_only15,HKSL_lesson_only15-WHAT-0JM0-474,what,什麼/甚麼,什麼/甚麼,什麼,,chose 1st opt
HKSL_lesson_only150,HKSL_lesson_only150-UNLUCKY-0JGD-616,unlucky,不幸,不幸,不幸,,
HKSL_lesson_only151,HKSL_lesson_only151-REFINED_DEMEANOR-0PDF-617,refined_demeanor,斯文,斯文,斯文,,
HKSL_lesson_only152,HKSL_lesson_only152-FULL-167T-618,full,飽,飽,飽,,
HKSL_lesson_only153,HKSL_lesson_only153-DIFFICULT-0LNG-619,difficult,困難,困難,困難,,
HKSL_lesson_only154,HKSL_lesson_only154-EASY-0MTP-620,easy,容易,容易,容易,,
HKSL_lesson_only155,HKSL_lesson_only155-FRIENDLY-0KUB-621,friendly,友好,友好,友好,,
HKSL_lesson_only156,HKSL_lesson_only156-OLD-10GA-622,old,舊,舊,舊,,
HKSL_lesson_only157,HKSL_lesson_only157-SLY-0SN1-623,sly,狡猾,狡猾,狡猾,,
HKSL_lesson_only158,HKSL_lesson_only158-LOYAL-0NV0-624,loyal,忠誠,忠誠,忠誠,,
HKSL_lesson_only159,HKSL_lesson_only159-CLEAN-0JJU-625,clean,乾淨,乾淨,乾淨,,
HKSL_lesson_only16,HKSL_lesson_only16-PASSING_NOTES-0UQ6-475,passing_notes,筆談,筆談,筆談,,
HKSL_lesson_only160,HKSL_lesson_only160-DIRTY-16LF-626,dirty,骯髒,骯髒,骯髒,,
HKSL_lesson_only161,HKSL_lesson_only161-SIGN_NAME-0OIB-627,sign_name,手語名,手語名,手語名,,
HKSL_lesson_only162,HKSL_lesson_only162-TRAIT-0SJP-628,trait,特徵,特徵,特徵,,
HKSL_lesson_only163,HKSL_lesson_only163-DIRECT-0TNK-629,direct,直接,直接,直接,,
HKSL_lesson_only164,HKSL_lesson_only164-SIMPLY-0V11-630,simply,簡潔,簡潔,簡潔,,
HKSL_lesson_only165,HKSL_lesson_only165-FAX-0K5J-631,fax,傳真,傳真,傳真,,
HKSL_lesson_only166,HKSL_lesson_only166-ADDRESS-0LPG-632,address,地址,地址,地址,,
HKSL_lesson_only167,HKSL_lesson_only167-GIVE_ME-0VB6-633,give_me,給我,給我,給我,,
HKSL_lesson_only168,HKSL_lesson_only168-DONT_KNOW-0JGD-634,dont_know,不知道,不知道,不知道,,
HKSL_lesson_only169,HKSL_lesson_only169-DIFFERENT-0JGD-635,different,不同,不同,不同,,
HKSL_lesson_only17,HKSL_lesson_only17-SMS-0TVD-476,SMS,短訊,短訊,短訊,,
HKSL_lesson_only170,HKSL_lesson_only170-MEET-12CB-636,meet,見面,見面,見面,,
HKSL_lesson_only171,HKSL_lesson_only171-INTERACT-0JL4-637,interact,交流,交流,交流,,
HKSL_lesson_only172,HKSL_lesson_only172-WORD-12IU-638,word,詞彙,詞彙,詞彙,,
HKSL_lesson_only173,HKSL_lesson_only173-SENTENCE-0KV5-639,sentence,句子,句子,句子,,
HKSL_lesson_only174,HKSL_lesson_only174-ESSAY-0PC7-640,essay,文章,文章,文章,,
HKSL_lesson_only175,HKSL_lesson_only175-TO_VIDEO-0P8T-641,to_video,攝錄,攝錄,攝錄,,
HKSL_lesson_only176,HKSL_lesson_only176-IMITATE-0QH1-642,imitate,模仿,模仿,模仿,,
HKSL_lesson_only176,HKSL_lesson_only176-^IMITATE_2-0QH1-643,^imitate_2,模仿,模仿_2,模仿,,
HKSL_lesson_only177,HKSL_lesson_only177-OFFICE_ADMIN-0PC7-644,office_admin,文職,文職,文職,,
HKSL_lesson_only178,HKSL_lesson_only178-CIVIL_SERVANT-0KBC-645,civil_servant,公務員,公務員,公務員,,
HKSL_lesson_only179,HKSL_lesson_only179-SOCIAL_WORKER-0U9U-646,social_worker,社工,社工,社工,,
HKSL_lesson_only179,HKSL_lesson_only179-^SOCIAL_WORKER_2-0U9U-647,^social_worker_2,社工,社工_2,社工,,
HKSL_lesson_only18,HKSL_lesson_only18-DONT_HAVE-0R4I-477,dont_have,沒有,沒有,沒有,,
HKSL_lesson_only180,HKSL_lesson_only180-POLICEMAN-12R6-648,policeman,警察,警察,警察,,
HKSL_lesson_only181,HKSL_lesson_only181-PLAIN_CLOTHES_POLICEMAN-0JTV-649,plain_clothes_policeman,便衣警探,便衣警探,便衣警探,,undercover police?
HKSL_lesson_only182,HKSL_lesson_only182-DOCTOR-14DB-650,doctor,醫生,醫生,醫生,,
HKSL_lesson_only183,HKSL_lesson_only183-ADMINISTRATIVE_ASSISTANT-0UEO-651,administrative_assistant,秘書,秘書,秘書,,
HKSL_lesson_only184,HKSL_lesson_only184-ACCOUNTING-0PO3-652,accounting,會計,會計,會計,,
HKSL_lesson_only185,HKSL_lesson_only185-BUSINESS-0T8V-653,business,生意,生意,生意,,
HKSL_lesson_only186,HKSL_lesson_only186-COMPUTER-15NR-654,computer,電腦,電腦,電腦,,
HKSL_lesson_only187,HKSL_lesson_only187-TO_DESIGN-12HD-655,to_design,設計,設計,設計,,
HKSL_lesson_only188,HKSL_lesson_only188-TYPESETTING-0OSI-656,typesetting,排版,排版,排版,,
HKSL_lesson_only189,HKSL_lesson_only189-PHOTOCOPY-0NRH-657,photocopy,影印,影印,影印,,
HKSL_lesson_only19,HKSL_lesson_only19-REMEMBER-12GO-478,remember,記得,記得,記得,,
HKSL_lesson_only190,HKSL_lesson_only190-CLEANER-0RG5-658,cleaner,清潔,清潔,清潔,,
HKSL_lesson_only191,HKSL_lesson_only191-ENGINEER-0NF5-660,engineer,工程師,工程師,工程師,,
HKSL_lesson_only191,HKSL_lesson_only191-INSURANCE-0JUT-659,insurance,保險,保險,保險,,
HKSL_lesson_only192,HKSL_lesson_only192-^ENGINEER_2-0NF5-661,^engineer_2,工程師,工程師_2,工程師,,
HKSL_lesson_only193,HKSL_lesson_only193-FIREFIGHTER-0RC8-662,firefighter,消防員,消防員,消防員,,
HKSL_lesson_only194,HKSL_lesson_only194-SALESPERSON-0L9E-663,salesperson,售貨員,售貨員,售貨員,,
HKSL_lesson_only195,HKSL_lesson_only195-MAILMAN-147L-664,mailman,郵差,郵差,郵差,,
HKSL_lesson_only196,HKSL_lesson_only196-LOGISTICS-0P1C-665,logistics,搬運,搬運,搬運,,
HKSL_lesson_only197,HKSL_lesson_only197-EXPRESS_DELIVERY-140V-666,express_delivery,速遞,速遞,速遞,,
HKSL_lesson_only197,HKSL_lesson_only197-EXPRESS_DELIVERY-140V-981,express_delivery,速遞,速遞,速遞,,
HKSL_lesson_only198,HKSL_lesson_only198-LAWYER-0NSB-667,lawyer,律師,律師,律師,,
HKSL_lesson_only199,HKSL_lesson_only199-BANK-14K0-668,bank,銀行,銀行,銀行,,
HKSL_lesson_only2,HKSL_lesson_only2-MYSELF-10FA-460,myself,自己,自己,自己,,
HKSL_lesson_only20,HKSL_lesson_only20-CAN-0KVF-479,can,可以,可以,可以,,
HKSL_lesson_only200,HKSL_lesson_only200-FACTORY-0NF5-669,factory,工廠,工廠,工廠,,
HKSL_lesson_only201,HKSL_lesson_only201-LABOR_DEPARTMENT-0KMU-670,Labor_Department,勞工處,勞工處,勞工處,,
HKSL_lesson_only202,HKSL_lesson_only202-SOCIAL_WELFARE_DEPARTMENT-0U9U-671,Social_Welfare_Department,社會福利署,社會福利署,社會福利署,,
HKSL_lesson_only203,HKSL_lesson_only203-ALWAYS-0VCJ-672,always,經常,經常,經常,,
HKSL_lesson_only204,HKSL_lesson_only204-SOMETIMES-15CJ-673,sometimes,間中,間中,間中,,
HKSL_lesson_only205,HKSL_lesson_only205-RESCHEDULE-0P9P-674,reschedule,改期,改期,改期,,
HKSL_lesson_only206,HKSL_lesson_only206-DELAY-0OMM-675,delay,拖延,拖延,拖延,,
HKSL_lesson_only207,HKSL_lesson_only207-LATE_NIGHT-0RFH-676,late_night,深夜,深夜,深夜,,
HKSL_lesson_only208,HKSL_lesson_only208-FIRST_DAY_LUNAR_NEW_YEAR-0NJK-677,first_day_Lunar_New_Year,年初一,年初一,年初一,,
HKSL_lesson_only209,HKSL_lesson_only209-^BEFORE2-0JN5-679,^before2,以前,以前,以前,,
HKSL_lesson_only209,HKSL_lesson_only209-BEFORE-0JIB-678,before,之前,之前,之前,,
HKSL_lesson_only21,HKSL_lesson_only21-CANNOT-0JGD-480,cannot,不能,不能,不能,,
HKSL_lesson_only210,HKSL_lesson_only210-PLAN-0MS9-680,plan,安排,安排,安排,,
HKSL_lesson_only211,HKSL_lesson_only211-INITIALLY-0PO0-681,initially,最初,最初,最初,,
HKSL_lesson_only212,HKSL_lesson_only212-FINALLY-0PO0-682,finally,最後,最後,最後,,
HKSL_lesson_only213,HKSL_lesson_only213-UNTIL-0TNK-683,until,直到,直到,直到,,
HKSL_lesson_only214,HKSL_lesson_only214-GO_ON-0VJS-684,go_on,繼續,繼續,繼續,,
HKSL_lesson_only215,HKSL_lesson_only215-ON_TIME-0RKM-685,on_time,準時,準時,準時,,
HKSL_lesson_only216,HKSL_lesson_only216-RESERVE_A_COURT-12G2-686,reserve_a_court,訂場,訂場,訂場,,
HKSL_lesson_only217,HKSL_lesson_only217-AHEAD_OF_TIME-0OUG-687,ahead_of_time,提早,提早,提早,,
HKSL_lesson_only218,HKSL_lesson_only218-IMMEDIATELY-0UMB-688,immediately,立即,立即,立即,,
HKSL_lesson_only219,HKSL_lesson_only219-FIRST_TIME-0UPC-689,first_time,第一次,第一次,第一次,,
