ASLLEXcode,NewFileName,EntryID,Cantonese_Filtered,Cantonese ,cantonese_orig,Frank's Note,Grace's Note
B_01_084,B_01_084-^ENGAGEMENT_2-12G2-73,^engagement_2,訂婚,訂婚_2,訂婚,,
B_01_086,B_01_086-FARM-13TI-74,farm,農場,農場,農場,,
B_01_088,B_01_088-WHICH-0L7A-75,which,哪個,哪個,哪個,,
B_01_089,B_01_089-PEACE-0L4C-76,peace,和平,和平,和平,,
B_01_090,B_01_090-SILLY-0K5R-77,silly,傻,傻,傻,,
B_02_002,B_02_002-EAT_1-166V-78,eat_1,食,食,食,,
B_02_003,B_02_003-ABOUT_2-0000-79,about_2,,N/A,,,
B_02_005,B_02_005-POSSIBLE-0PO9-80,possible,有可能,有可能,有可能,,
B_02_006,B_02_006-BLACK-17MH-81,black,黑色,黑色,黑色,,
B_02_007,B_02_007-PLEASE-0QP3-82,please,欣慰,欣慰,欣慰,,
B_02_008,B_02_008-MOTHER-0MLT-83,mother,媽咪,媽咪,媽咪,,
B_02_009,B_02_009-SAME_1-162U-84,same_1,類似,類似,類似,,
B_02_010,B_02_010-GALLAUDET-0000-85,gallaudet,,gallaudet,,,
B_02_012,B_02_012-DRINK-167I-86,drink,飲,飲,飲,,
B_02_013,B_02_013-SAME_2-0000-87,same_2,,N/A,,,
B_02_014,B_02_014-SCARCELY-0NJU-88,scarcely,幾乎不會,幾乎不會,幾乎不,slightly super,
B_02_015,B_02_015-YEAR-0NJK-89,year,年,年,年,,
B_02_016,B_02_016-WAIT-0UQ9-90,wait,等,等,等,,
B_02_019,B_02_019-SWALLOW-0L0U-91,swallow,吞,吞,吞,,
B_02_020,B_02_020-FRIDAY-0PGV-92,friday,星期五,星期五,星期五,,
B_02_021,B_02_021-REALLY-0TOV-93,really,真嘅,真嘅,真的,written chinese,
B_02_022,B_02_022-CONGRATULATIONS-0O3D-94,congratulations,恭喜,恭喜,恭喜,,
B_02_026,B_02_026-HOSPITAL-14DB-95,hospital,醫院,醫院,醫院,,
B_02_027,B_02_027-SUBTRACT-0RGR-96,subtract,減,減,減,,
B_02_029,B_02_029-WIN-138F-97,win,贏,贏,贏,,
B_02_030,B_02_030-AFTER-0JIB-98,after,之後,之後,之後,,
B_02_032,B_02_032-WEAR-13LB-99,wear,身穿,身穿,身穿,,
B_02_033,B_02_033-KEY-14SM-100,key,鎖匙,鎖匙,鎖匙,,
B_02_034,B_02_034-TRY-0LGN-101,try,嘗試,嘗試,嘗試,,
B_02_034,B_02_034-^TRY_2-0LGN-102,^try_2,嘗試,嘗試,嘗試,,
B_02_035,B_02_035-WHERE-144A-103,where,邊度,邊度,邊度,,
B_02_036,B_02_036-GRANDFATHER-0KBC-104,grandfather,公公,公公 (mother's father),公公,,
B_02_036,B_02_036-GRANDFATHER-0SHQ-105,grandfather,爺爺,爺爺 (father's father),爺爺,,
B_02_037,B_02_037-SUMMER-0M8F-106,summer,夏天,夏天,夏天,,
B_02_038,B_02_038-ACT-0OJE-107,act,扮演,扮演,扮演,,
B_02_039,B_02_039-PARADE-142A-108,parade,遊行,遊行,遊行,,
