木 ['名詞', '語素']木
樹 0.4152094 ['名詞', '語素'] <-- 1
石 0.4028054 ['名詞', '語素']
梨 0.24080358 ['名詞', '語素'] <-- 3
魚 0.22615123 ['名詞', '語素']
東 0.17758842 ['名詞', '語素'] <-- 5
牛 0.14673708 ['名詞', '語素']
蛋 0.14572155 ['名詞', '語素']
湯 0.14261389 ['名詞', '語素']
馬 0.07501722 ['名詞', '語素']
心 0.061872344 ['名詞', '語素'] <-- 10
賊 0.012252676 ['名詞', '語素']
人 -0.030473012 ['名詞', '語素']
問題 -0.16893053 ['名詞', '語素']
問題 -0.16893053 ['名詞', '語素'] <-- 14
