衰 ['動詞', '形容詞']衰
輸 0.3965784 ['動詞', '形容詞'] <-- 1
嬲 0.3244114 ['動詞', '形容詞']
贏 0.30578363 ['動詞', '形容詞'] <-- 3
悶 0.23156512 ['動詞', '形容詞']
辛苦 0.22481982 ['動詞', '形容詞'] <-- 5
得閒 0.22320102 ['動詞', '形容詞']
討厭 0.17646828 ['動詞', '形容詞']
清楚 0.13445021 ['動詞', '形容詞']
明白 0.087126225 ['動詞', '形容詞']
緊張 0.0683598 ['動詞', '形容詞'] <-- 10
成功 0.051993232 ['動詞', '形容詞']
成功 0.051993232 ['動詞', '形容詞']
投入 -0.08754746 ['動詞', '形容詞']
平衡 -0.0909118 ['動詞', '形容詞']
平衡 -0.0909118 ['動詞', '形容詞']
清潔 -0.09172363 ['動詞', '形容詞'] <-- 16
