牛 ['名詞', '語素']牛
蛋 0.4515028 ['名詞', '語素'] <-- 1
魚 0.42876372 ['名詞', '語素']
湯 0.3345313 ['名詞', '語素'] <-- 3
馬 0.24534212 ['名詞', '語素']
樹 0.23708022 ['名詞', '語素'] <-- 5
梨 0.22046368 ['名詞', '語素']
石 0.20258804 ['名詞', '語素']
木 0.14673708 ['名詞', '語素']
賊 0.111026615 ['名詞', '語素']
東 0.09374496 ['名詞', '語素'] <-- 10
人 0.07617176 ['名詞', '語素']
心 0.05683731 ['名詞', '語素']
問題 -0.08027982 ['名詞', '語素']
問題 -0.08027982 ['名詞', '語素'] <-- 14
