問題 ['名詞', '語素']問題
人 0.241601 ['名詞', '語素'] <-- 1
心 0.07535799 ['名詞', '語素']
賊 0.04167454 ['名詞', '語素'] <-- 3
樹 0.02030438 ['名詞', '語素']
魚 -0.026755502 ['名詞', '語素'] <-- 5
馬 -0.056874663 ['名詞', '語素']
湯 -0.0773979 ['名詞', '語素']
牛 -0.08027982 ['名詞', '語素']
蛋 -0.08473575 ['名詞', '語素']
梨 -0.10634517 ['名詞', '語素'] <-- 10
石 -0.11710818 ['名詞', '語素']
東 -0.12076601 ['名詞', '語素']
木 -0.16893053 ['名詞', '語素'] <-- 13
