魚 ['名詞', '語素']魚
蛋 0.4315518 ['名詞', '語素'] <-- 1
牛 0.42876372 ['名詞', '語素']
湯 0.36650717 ['名詞', '語素'] <-- 3
梨 0.24604173 ['名詞', '語素']
木 0.22615123 ['名詞', '語素'] <-- 5
石 0.21058428 ['名詞', '語素']
樹 0.14457223 ['名詞', '語素']
心 0.11442673 ['名詞', '語素']
馬 0.11119826 ['名詞', '語素']
賊 0.07665507 ['名詞', '語素'] <-- 10
東 0.06417969 ['名詞', '語素']
人 0.031421825 ['名詞', '語素']
問題 -0.026755502 ['名詞', '語素']
問題 -0.026755502 ['名詞', '語素'] <-- 14
