賊 ['名詞', '語素']賊
人 0.19149098 ['名詞', '語素'] <-- 1
馬 0.165205 ['名詞', '語素']
心 0.13247311 ['名詞', '語素'] <-- 3
樹 0.12405277 ['名詞', '語素']
牛 0.111026615 ['名詞', '語素'] <-- 5
魚 0.07665507 ['名詞', '語素']
蛋 0.050262734 ['名詞', '語素']
梨 0.045129247 ['名詞', '語素']
問題 0.04167454 ['名詞', '語素']
問題 0.04167454 ['名詞', '語素'] <-- 10
木 0.012252676 ['名詞', '語素']
石 0.009880073 ['名詞', '語素']
湯 -0.017757438 ['名詞', '語素']
東 -0.018972777 ['名詞', '語素'] <-- 14
