石 ['名詞', '語素']石
木 0.4028054 ['名詞', '語素'] <-- 1
樹 0.3249726 ['名詞', '語素']
蛋 0.25184885 ['名詞', '語素'] <-- 3
魚 0.21058428 ['名詞', '語素']
牛 0.20258804 ['名詞', '語素'] <-- 5
東 0.19076833 ['名詞', '語素']
梨 0.18990602 ['名詞', '語素']
馬 0.17877693 ['名詞', '語素']
湯 0.16722612 ['名詞', '語素']
人 0.060992967 ['名詞', '語素'] <-- 10
賊 0.009880073 ['名詞', '語素']
心 0.009346567 ['名詞', '語素']
問題 -0.11710818 ['名詞', '語素']
問題 -0.11710818 ['名詞', '語素'] <-- 14
