馬 ['名詞', '語素']馬
牛 0.24534212 ['名詞', '語素'] <-- 1
石 0.17877693 ['名詞', '語素']
賊 0.165205 ['名詞', '語素'] <-- 3
東 0.13848075 ['名詞', '語素']
梨 0.11613718 ['名詞', '語素'] <-- 5
魚 0.11119826 ['名詞', '語素']
樹 0.10845929 ['名詞', '語素']
蛋 0.075338036 ['名詞', '語素']
木 0.07501722 ['名詞', '語素']
人 0.043237593 ['名詞', '語素'] <-- 10
心 0.01592715 ['名詞', '語素']
湯 0.003232006 ['名詞', '語素']
問題 -0.056874663 ['名詞', '語素']
問題 -0.056874663 ['名詞', '語素'] <-- 14
