再來 ['動詞', '語句']再來
給我 0.45983207 ['動詞', '語句'] <-- 1
不知道 0.32773307 ['動詞', '語句']
不介意 0.3104542 ['動詞', '語句'] <-- 3
不怕 0.30839232 ['動詞', '語句']
不喜歡 0.3008948 ['動詞', '語句'] <-- 5
聽不到 0.2855024 ['動詞', '語句']
不明白 0.24179086 ['動詞', '語句']
小心 0.18651783 ['動詞', '語句']
偏心 0.11815158 ['動詞', '語句']
對唔住 0.06202803 ['動詞', '語句'] <-- 10
鍾意 -0.044295557 ['動詞', '語句'] <-- 11
