人 ['名詞', '語素']人
問題 0.241601 ['名詞', '語素'] <-- 1
問題 0.241601 ['名詞', '語素']
心 0.22633836 ['名詞', '語素'] <-- 3
賊 0.19149098 ['名詞', '語素']
樹 0.14140636 ['名詞', '語素'] <-- 5
牛 0.07617176 ['名詞', '語素']
石 0.060992967 ['名詞', '語素']
馬 0.043237593 ['名詞', '語素']
魚 0.031421825 ['名詞', '語素']
蛋 0.010121945 ['名詞', '語素'] <-- 10
東 -0.022258926 ['名詞', '語素']
木 -0.030473012 ['名詞', '語素']
湯 -0.07145275 ['名詞', '語素']
梨 -0.08000698 ['名詞', '語素'] <-- 14
