心 ['名詞', '語素']心
人 0.22633836 ['名詞', '語素'] <-- 1
蛋 0.17605202 ['名詞', '語素']
賊 0.13247311 ['名詞', '語素'] <-- 3
魚 0.11442673 ['名詞', '語素']
湯 0.096717365 ['名詞', '語素'] <-- 5
樹 0.09245081 ['名詞', '語素']
問題 0.07535799 ['名詞', '語素']
問題 0.07535799 ['名詞', '語素']
木 0.061872344 ['名詞', '語素']
梨 0.058061868 ['名詞', '語素'] <-- 10
牛 0.05683731 ['名詞', '語素']
馬 0.01592715 ['名詞', '語素']
石 0.009346567 ['名詞', '語素']
東 0.008487833 ['名詞', '語素'] <-- 14
