湯 ['名詞', '語素']湯
蛋 0.37850794 ['名詞', '語素'] <-- 1
魚 0.36650717 ['名詞', '語素']
牛 0.3345313 ['名詞', '語素'] <-- 3
梨 0.19244346 ['名詞', '語素']
石 0.16722612 ['名詞', '語素'] <-- 5
木 0.14261389 ['名詞', '語素']
心 0.096717365 ['名詞', '語素']
東 0.011348424 ['名詞', '語素']
樹 0.011311423 ['名詞', '語素']
馬 0.003232006 ['名詞', '語素'] <-- 10
賊 -0.017757438 ['名詞', '語素']
人 -0.07145275 ['名詞', '語素']
問題 -0.0773979 ['名詞', '語素']
問題 -0.0773979 ['名詞', '語素'] <-- 14
