不知道 ['動詞', '語句']不知道
不明白 0.80372655 ['動詞', '語句'] <-- 1
不喜歡 0.61724 ['動詞', '語句']
聽不到 0.59428453 ['動詞', '語句'] <-- 3
不介意 0.5758887 ['動詞', '語句']
不怕 0.53132915 ['動詞', '語句'] <-- 5
給我 0.36003488 ['動詞', '語句']
再來 0.32773307 ['動詞', '語句']
偏心 0.30482894 ['動詞', '語句']
小心 0.14923114 ['動詞', '語句']
對唔住 0.057680015 ['動詞', '語句'] <-- 10
鍾意 -0.055654805 ['動詞', '語句'] <-- 11
