聽不到 ['動詞', '語句']聽不到
不知道 0.59428453 ['動詞', '語句'] <-- 1
不明白 0.56535006 ['動詞', '語句']
不喜歡 0.46719003 ['動詞', '語句'] <-- 3
不介意 0.44911537 ['動詞', '語句']
不怕 0.3963633 ['動詞', '語句'] <-- 5
給我 0.32824624 ['動詞', '語句']
再來 0.2855024 ['動詞', '語句']
更喜歡 0.25875512 ['動詞', '語句']
講大話 0.24791011 ['動詞', '語句']
引人注意 0.23748165 ['動詞', '語句'] <-- 10
拍馬屁 0.20606782 ['動詞', '語句']
小心 0.1603018 ['動詞', '語句']
鍾意 0.04959938 ['動詞', '語句'] <-- 13
