講大話 ['動詞', '語句']講大話
鍾意 0.3050711 ['動詞', '語句'] <-- 1
偏心 0.28613 ['動詞', '語句']
不明白 0.27635002 ['動詞', '語句'] <-- 3
拍馬屁 0.2621558 ['動詞', '語句']
小心 0.25149766 ['動詞', '語句'] <-- 5
聽不到 0.24791011 ['動詞', '語句']
不介意 0.23220028 ['動詞', '語句']
引人注意 0.19573633 ['動詞', '語句']
不知道 0.19419391 ['動詞', '語句']
不怕 0.19269863 ['動詞', '語句'] <-- 10
不喜歡 0.15150739 ['動詞', '語句']
再來 0.016179297 ['動詞', '語句']
給我 0.0061417315 ['動詞', '語句'] <-- 13
