更喜歡 ['動詞', '語句']更喜歡
不喜歡 0.64871323 ['動詞', '語句'] <-- 1
不介意 0.50032985 ['動詞', '語句']
不明白 0.38550258 ['動詞', '語句'] <-- 3
不知道 0.37339607 ['動詞', '語句']
不怕 0.34207952 ['動詞', '語句'] <-- 5
鍾意 0.28424925 ['動詞', '語句']
給我 0.2771266 ['動詞', '語句']
聽不到 0.25875512 ['動詞', '語句']
再來 0.21243888 ['動詞', '語句']
引人注意 0.21162325 ['動詞', '語句'] <-- 10
拍馬屁 0.20552726 ['動詞', '語句']
小心 0.10730797 ['動詞', '語句']
講大話 -0.09436941 ['動詞', '語句'] <-- 13
