偏心 ['動詞', '語句']偏心
不喜歡 0.50946635 ['動詞', '語句'] <-- 1
不明白 0.4245343 ['動詞', '語句']
不介意 0.4173113 ['動詞', '語句'] <-- 3
鍾意 0.385535 ['動詞', '語句']
不知道 0.30482894 ['動詞', '語句'] <-- 5
講大話 0.28613 ['動詞', '語句']
引人注意 0.2839539 ['動詞', '語句']
不怕 0.2781399 ['動詞', '語句']
小心 0.26403266 ['動詞', '語句']
聽不到 0.25745508 ['動詞', '語句'] <-- 10
拍馬屁 0.1731157 ['動詞', '語句']
給我 0.14847562 ['動詞', '語句']
再來 0.11815158 ['動詞', '語句'] <-- 13
