辛苦 ['動詞', '形容詞']辛苦
悶 0.45557728 ['動詞', '形容詞'] <-- 1
得閒 0.3821219 ['動詞', '形容詞']
緊張 0.36851257 ['動詞', '形容詞'] <-- 3
討厭 0.32356355 ['動詞', '形容詞']
明白 0.31776303 ['動詞', '形容詞'] <-- 5
嬲 0.3110915 ['動詞', '形容詞']
清楚 0.27649334 ['動詞', '形容詞']
輸 0.25820774 ['動詞', '形容詞']
衰 0.22481982 ['動詞', '形容詞']
投入 0.19614458 ['動詞', '形容詞'] <-- 10
成功 0.17453097 ['動詞', '形容詞']
成功 0.17453097 ['動詞', '形容詞']
贏 0.16983709 ['動詞', '形容詞']
清潔 0.16009727 ['動詞', '形容詞']
平衡 0.09358183 ['動詞', '形容詞']
平衡 0.09358183 ['動詞', '形容詞'] <-- 16
