蛋 ['名詞', '語素']蛋
牛 0.4515028 ['名詞', '語素'] <-- 1
魚 0.4315518 ['名詞', '語素']
湯 0.37850794 ['名詞', '語素'] <-- 3
梨 0.2625227 ['名詞', '語素']
石 0.25184885 ['名詞', '語素'] <-- 5
心 0.17605202 ['名詞', '語素']
樹 0.16091451 ['名詞', '語素']
木 0.14572155 ['名詞', '語素']
馬 0.075338036 ['名詞', '語素']
賊 0.050262734 ['名詞', '語素'] <-- 10
人 0.010121945 ['名詞', '語素']
東 -0.0005431976 ['名詞', '語素']
問題 -0.08473575 ['名詞', '語素']
問題 -0.08473575 ['名詞', '語素'] <-- 14
