拍馬屁 ['動詞', '語句']拍馬屁
不喜歡 0.29744297 ['動詞', '語句'] <-- 1
不怕 0.29358414 ['動詞', '語句']
不介意 0.2707713 ['動詞', '語句'] <-- 3
講大話 0.2621558 ['動詞', '語句']
引人注意 0.22900549 ['動詞', '語句'] <-- 5
聽不到 0.20606782 ['動詞', '語句']
不知道 0.20412445 ['動詞', '語句']
不明白 0.20407906 ['動詞', '語句']
偏心 0.1731157 ['動詞', '語句']
給我 0.16706172 ['動詞', '語句'] <-- 10
小心 0.13151178 ['動詞', '語句']
鍾意 0.13014446 ['動詞', '語句']
再來 0.12765816 ['動詞', '語句'] <-- 13
