樹 ['名詞', '語素']樹
木 0.4152094 ['名詞', '語素'] <-- 1
石 0.3249726 ['名詞', '語素']
牛 0.23708022 ['名詞', '語素'] <-- 3
梨 0.18084759 ['名詞', '語素']
蛋 0.16091451 ['名詞', '語素'] <-- 5
魚 0.14457223 ['名詞', '語素']
人 0.14140636 ['名詞', '語素']
賊 0.12405277 ['名詞', '語素']
馬 0.10845929 ['名詞', '語素']
心 0.09245081 ['名詞', '語素'] <-- 10
東 0.056712728 ['名詞', '語素']
問題 0.02030438 ['名詞', '語素']
問題 0.02030438 ['名詞', '語素']
湯 0.011311423 ['名詞', '語素'] <-- 14
