不喜歡 ['動詞', '語句']不喜歡
不介意 0.7475274 ['動詞', '語句'] <-- 1
不明白 0.68526787 ['動詞', '語句']
不怕 0.6466522 ['動詞', '語句'] <-- 3
不知道 0.61724 ['動詞', '語句']
偏心 0.50946635 ['動詞', '語句'] <-- 5
聽不到 0.46719003 ['動詞', '語句']
給我 0.34954315 ['動詞', '語句']
引人注意 0.31059092 ['動詞', '語句']
再來 0.3008948 ['動詞', '語句']
拍馬屁 0.29744297 ['動詞', '語句'] <-- 10
鍾意 0.24321452 ['動詞', '語句']
小心 0.21024358 ['動詞', '語句']
講大話 0.15150739 ['動詞', '語句'] <-- 13
