不明白 ['動詞', '語句']不明白
不知道 0.80372655 ['動詞', '語句'] <-- 1
不喜歡 0.68526787 ['動詞', '語句']
不介意 0.6460696 ['動詞', '語句'] <-- 3
聽不到 0.56535006 ['動詞', '語句']
不怕 0.5544224 ['動詞', '語句'] <-- 5
偏心 0.4245343 ['動詞', '語句']
給我 0.2881179 ['動詞', '語句']
再來 0.24179086 ['動詞', '語句']
小心 0.150554 ['動詞', '語句']
對唔住 0.12186965 ['動詞', '語句'] <-- 10
鍾意 0.029621856 ['動詞', '語句'] <-- 11
