東 ['名詞', '語素']東
石 0.19076833 ['名詞', '語素'] <-- 1
木 0.17758842 ['名詞', '語素']
馬 0.13848075 ['名詞', '語素'] <-- 3
梨 0.10195126 ['名詞', '語素']
牛 0.09374496 ['名詞', '語素'] <-- 5
魚 0.06417969 ['名詞', '語素']
樹 0.056712728 ['名詞', '語素']
湯 0.011348424 ['名詞', '語素']
心 0.008487833 ['名詞', '語素']
蛋 -0.0005431976 ['名詞', '語素'] <-- 10
賊 -0.018972777 ['名詞', '語素']
人 -0.022258926 ['名詞', '語素']
問題 -0.12076601 ['名詞', '語素']
問題 -0.12076601 ['名詞', '語素'] <-- 14
