悶 ['動詞', '形容詞']悶
辛苦 0.45557728 ['動詞', '形容詞'] <-- 1
得閒 0.39732456 ['動詞', '形容詞']
討厭 0.29750362 ['動詞', '形容詞'] <-- 3
緊張 0.28007063 ['動詞', '形容詞']
嬲 0.24283595 ['動詞', '形容詞'] <-- 5
衰 0.23156512 ['動詞', '形容詞']
輸 0.20172186 ['動詞', '形容詞']
明白 0.1735756 ['動詞', '形容詞']
贏 0.15536244 ['動詞', '形容詞']
清楚 0.07799232 ['動詞', '形容詞'] <-- 10
投入 0.06460756 ['動詞', '形容詞']
平衡 0.015901664 ['動詞', '形容詞']
平衡 0.015901664 ['動詞', '形容詞']
清潔 -0.04968041 ['動詞', '形容詞']
成功 -0.07594342 ['動詞', '形容詞']
成功 -0.07594342 ['動詞', '形容詞'] <-- 16
