梨 ['名詞', '語素']梨
蛋 0.2625227 ['名詞', '語素'] <-- 1
魚 0.24604173 ['名詞', '語素']
木 0.24080358 ['名詞', '語素'] <-- 3
牛 0.22046368 ['名詞', '語素']
湯 0.19244346 ['名詞', '語素'] <-- 5
石 0.18990602 ['名詞', '語素']
樹 0.18084759 ['名詞', '語素']
馬 0.11613718 ['名詞', '語素']
東 0.10195126 ['名詞', '語素']
心 0.058061868 ['名詞', '語素'] <-- 10
賊 0.045129247 ['名詞', '語素']
人 -0.08000698 ['名詞', '語素']
問題 -0.10634517 ['名詞', '語素']
問題 -0.10634517 ['名詞', '語素'] <-- 14
